Type,Date,Exercise / Meal,Category / Meal Type,Set Number,Reps,Weight (kg),Duration (hrs),Duration (mins),Total Duration (mins),Calories (kcal),Protein (g),Carbs (g),Fat (g),Sugar (g),Heart Rate (bpm),Foods,Notes,Logged At (UTC)
"Workout","2026-06-18","Shoulder Flies","shoulders","1","10","20","","","","","","","","","","","","2026-06-18T05:12:32.144Z"
"Workout","2026-06-18","Barbell Curls","biceps","4","10","30","","","","","","","","","","","",""
"Workout","2026-06-18","Barbell Curls","biceps","3","12","30","","","","","","","","","","","",""
"Workout","2026-06-18","Barbell Curls","biceps","2","12","30","","","","","","","","","","","",""
"Workout","2026-06-18","Barbell Curls","biceps","1","15","30","","","","","","","","","","","","2026-06-18T05:03:36.665Z"
"Workout","2026-06-18","Rear Delt Fly Machine","shoulders","4","9","72.5","","","","","","","","","","","",""
"Workout","2026-06-18","Rear Delt Fly Machine","shoulders","3","10","72.5","","","","","","","","","","","",""
"Workout","2026-06-18","Rear Delt Fly Machine","shoulders","2","12","65","","","","","","","","","","","",""
"Workout","2026-06-18","Rear Delt Fly Machine","shoulders","1","12","57.5","","","","","","","","","","","","2026-06-18T04:52:53.518Z"
"Workout","2026-06-18","Incline Dumbbell Curl","biceps","4","14","16","","","","","","","","","","","",""
"Workout","2026-06-18","Incline Dumbbell Curl","biceps","3","14","16","","","","","","","","","","","",""
"Workout","2026-06-18","Incline Dumbbell Curl","biceps","2","16","16","","","","","","","","","","","",""
"Workout","2026-06-18","Incline Dumbbell Curl","biceps","1","16","16","","","","","","","","","","","","2026-06-18T04:39:37.938Z"
"Workout","2026-06-18","Abs","core","9","16","20","","","","","","","","","","","",""
"Workout","2026-06-18","Abs","core","8","10","20","","","","","","","","","","","",""
"Workout","2026-06-18","Abs","core","7","10","20","","","","","","","","","","","",""
"Workout","2026-06-18","Abs","core","6","10","20","","","","","","","","","","","",""
"Workout","2026-06-18","Abs","core","5","12","10","","","","","","","","","","","",""
"Workout","2026-06-18","Abs","core","4","12","10","","","","","","","","","","","",""
"Workout","2026-06-18","Abs","core","3","12","10","","","","","","","","","","","",""
"Workout","2026-06-18","Abs","core","2","30","10","","","","","","","","","","","",""
"Workout","2026-06-18","Abs","core","1","15","10","","","","","","","","","","","","2026-06-18T04:25:57.632Z"
"Nutrition","2026-06-17","Protein","Protein","","","","","","","558","56","55","14","33","","62g Whey Protein Powder; 10g Creatine; 1serving Banana; 25g Peanut Butter; 25g Dates","","2026-06-17T12:29:42.092Z"
"Nutrition","2026-06-17","Dinner","Dinner","","","","","","","276","12","54","","36","","600ml Coconut Water (250ml)","","2026-06-17T10:34:06.471Z"
"Nutrition","2026-06-17","Dinner","Dinner","","","","","","","436","45","26","17","3","","150g Chicken Breast; 75g Quinoa (Cooked); 100g Lettuce (Romaine); 75g Avocado","","2026-06-17T10:22:54.820Z"
"Nutrition","2026-06-17","Lunch","Lunch","","","","","","","280","38","","14","","","200g Grass-fed Tenderloin","","2026-06-17T07:05:47.727Z"
"Nutrition","2026-06-17","Lunch","Lunch","","","","","","","82","","20","","20","","1serving Pocari Sweat (330ml)","","2026-06-17T07:00:48.376Z"
"Nutrition","2026-06-17","Lunch","Lunch","","","","","","","290","18","30","10","3","","1serving Fish Tacos (2)","","2026-06-17T06:59:54.647Z"
"Nutrition","2026-06-17","Breakfast","Breakfast","","","","","","","179","12","29","2","21","","50g Dragonfruit; 50g Pineapple; 50g Mango; 50g Papaya; 100g Greek Yogurt (Plain)","","2026-06-17T06:59:38.593Z"
"Nutrition","2026-06-17","Breakfast","Breakfast","","","","","","","80","4","8","3","7","","1serving Cappuccino","","2026-06-17T06:58:31.240Z"
"Nutrition","2026-06-17","Breakfast","Breakfast","","","","","","","648","45","53","27","3","","90g Sourdough Bread; 1serving Scrambled Eggs (2); 50g Ham; 60g Mozzarella","","2026-06-17T06:58:20.301Z"
"Nutrition","2026-06-16","Snack","Snack","","","","","","","230","10","45","","30","","500ml Coconut Water (250ml)","","2026-06-16T11:47:50.398Z"
"Nutrition","2026-06-16","Dinner","Dinner","","","","","","","570","24","72","20","6","","2serving Pizza Slice","","2026-06-16T11:43:37.638Z"
"Nutrition","2026-06-16","Snack","Snack","","","","","","","212","7","33","6","22","","200ml Milk (Whole); 1serving Banana","","2026-06-16T09:06:13.597Z"
"Nutrition","2026-06-16","Lunch","Lunch","","","","","","","1246","123","47","63","1","","150g Chicken Breast; 300g Beef Patty; 150g Basmati Rice (Cooked); 50g Avocado","","2026-06-16T09:05:27.975Z"
"Nutrition","2026-06-16","Breakfast","Breakfast","","","","","","","90","1","23","","12","","1serving Banana","","2026-06-16T04:13:26.363Z"
"Nutrition","2026-06-16","Breakfast","Breakfast","","","","","","","566","44","41","26","20","","50g Greek Yogurt (Plain); 250ml Milk (Whole); 25g Granola; 15g Coconut Flakes (Unsweetened); 31g Whey Protein Powder; 5g Spirulina Powder; 5g Chia Seeds","","2026-06-16T04:13:12.421Z"
"Nutrition","2026-06-16","Breakfast","Breakfast","","","","","","","556","31","51","23","","","3serving Boiled Egg; 90g Whole Wheat Bread; 20g Cheddar Cheese","","2026-06-16T02:22:39.878Z"
"Workout","2026-06-16","Rear Delt Fly Machine","shoulders","2","10","65","","","","","","","","","","","",""
"Workout","2026-06-16","Rear Delt Fly Machine","shoulders","1","10","57.5","","","","","","","","","","","","2026-06-16T05:37:58.251Z"
"Workout","2026-06-16","Fly Machine","chest","4","9","102.5","","","","","","","","","","","",""
"Workout","2026-06-16","Fly Machine","chest","3","10","95","","","","","","","","","","","",""
"Workout","2026-06-16","Fly Machine","chest","2","10","87.5","","","","","","","","","","","",""
"Workout","2026-06-16","Fly Machine","chest","1","12","72.5","","","","","","","","","","","","2026-06-16T05:35:28.065Z"
"Workout","2026-06-16","Chest Press Wide Machine","chest","4","8","80","","","","","","","","","","","",""
"Workout","2026-06-16","Chest Press Wide Machine","chest","3","9","80","","","","","","","","","","","",""
"Workout","2026-06-16","Chest Press Wide Machine","chest","2","9","80","","","","","","","","","","","",""
"Workout","2026-06-16","Chest Press Wide Machine","chest","1","12","60","","","","","","","","","","","","2026-06-16T05:22:11.854Z"
"Workout","2026-06-16","Standing Chest Flies","chest","4","12","125","","","","","","","","","","","",""
"Workout","2026-06-16","Standing Chest Flies","chest","3","12","125","","","","","","","","","","","",""
"Workout","2026-06-16","Standing Chest Flies","chest","2","12","125","","","","","","","","","","","",""
"Workout","2026-06-16","Standing Chest Flies","chest","1","12","125","","","","","","","","","","","","2026-06-16T05:09:20.669Z"
"Workout","2026-06-16","Abs","core","8","20","10","","","","","","","","","","","",""
"Workout","2026-06-16","Abs","core","7","20","10","","","","","","","","","","","",""
"Workout","2026-06-16","Abs","core","6","20","10","","","","","","","","","","","",""
"Workout","2026-06-16","Abs","core","5","10","20","","","","","","","","","","","",""
"Workout","2026-06-16","Abs","core","4","10","20","","","","","","","","","","","",""
"Workout","2026-06-16","Abs","core","3","15","","","","","","","","","","","","",""
"Workout","2026-06-16","Abs","core","2","15","","","","","","","","","","","","",""
"Workout","2026-06-16","Abs","core","1","15","","","10","10","79","","","","","117","","","2026-06-16T05:03:30.425Z"
"Nutrition","2026-06-15","Snack","Snack","","","","","","","66","1","18","","16","","24g Dates","","2026-06-15T12:00:03.640Z"
"Nutrition","2026-06-15","Dinner","Dinner","","","","","","","729","92","35","26","16","","200g Grass-fed Tenderloin; 62g Whey Protein Powder; 20g Peanut Butter; 1serving Banana","","2026-06-15T11:59:27.045Z"
"Nutrition","2026-06-15","Snack","Snack","","","","","","","134","7","11","7","11","","220ml Milk (Whole)","","2026-06-15T11:01:58.841Z"
"Nutrition","2026-06-15","Snack","Snack","","","","","","","300","5","50","15","25","","1serving Cinnamon Roll","","2026-06-15T08:48:12.534Z"
"Nutrition","2026-06-15","Snack","Snack","","","","","","","380","32","29","16","2","","122g Salmon; 120g Tuna Sushi","","2026-06-15T08:46:29.877Z"
"Nutrition","2026-06-15","Breakfast","Breakfast","","","","","","","90","1","23","","12","","1serving Banana","","2026-06-15T07:11:09.410Z"
"Nutrition","2026-06-15","Lunch","Lunch","","","","","","","919","72","82","35","36","","220g Chicken Thigh; 100g Yellow Rice; 100g Grilled Tempeh; 100g Stir Fry Vegetables; 1serving Pocari Sweat (500ml can)","","2026-06-15T05:22:57.980Z"
"Nutrition","2026-06-15","Breakfast","Breakfast","","","","","","","592","21","116","24","13","","1serving Banana; 1serving Scrambled Eggs (2); 50g Avocado; 200g Red Rice (Cooked)","","2026-06-15T01:51:21.903Z"
"Workout","2026-06-15","Back","back","1","1","","","55","55","373","","","","","104","","","2026-06-15T03:43:37.288Z"
"Workout","2026-06-15","Incline Dumbbell Curl","biceps","4","10","16","","","","","","","","","","","",""
"Workout","2026-06-15","Incline Dumbbell Curl","biceps","3","12","16","","","","","","","","","","","",""
"Workout","2026-06-15","Incline Dumbbell Curl","biceps","2","14","16","","","","","","","","","","","",""
"Workout","2026-06-15","Incline Dumbbell Curl","biceps","1","14","16","","","","","","","","","","","","2026-06-15T03:43:03.853Z"
"Workout","2026-06-15","Lat Pulldown","back","4","7","75","","","","","","","","","","","",""
"Workout","2026-06-15","Lat Pulldown","back","3","8","75","","","","","","","","","","","",""
"Workout","2026-06-15","Lat Pulldown","back","2","11","67.5","","","","","","","","","","","",""
"Workout","2026-06-15","Lat Pulldown","back","1","10","67.5","","","","","","","","","","","","2026-06-15T03:25:44.480Z"
"Workout","2026-06-15","Barbell Curls","biceps","4","10","30","","","","","","","","","","","",""
"Workout","2026-06-15","Barbell Curls","biceps","3","10","30","","","","","","","","","","","",""
"Workout","2026-06-15","Barbell Curls","biceps","2","10","30","","","","","","","","","","","",""
"Workout","2026-06-15","Barbell Curls","biceps","1","12","30","","","","","","","","","","","","2026-06-15T03:14:49.948Z"
"Workout","2026-06-15","Hammer Curls","biceps","4","18","18","","","","","","","","","","","",""
"Workout","2026-06-15","Hammer Curls","biceps","3","18","18","","","","","","","","","","","",""
"Workout","2026-06-15","Hammer Curls","biceps","2","18","18","","","","","","","","","","","",""
"Workout","2026-06-15","Hammer Curls","biceps","1","20","16","","","","","","","","","","","","2026-06-15T03:04:58.573Z"
"Workout","2026-06-15","Rows Machine","back","4","8","67.5","","","","","","","","","","","",""
"Workout","2026-06-15","Rows Machine","back","3","10","60","","","","","","","","","","","",""
"Workout","2026-06-15","Rows Machine","back","2","15","52.5","","","","","","","","","","","",""
"Workout","2026-06-15","Rows Machine","back","1","18","37.5","","","","","","","","","","","","2026-06-15T02:54:46.713Z"
"Nutrition","2026-06-14","Supplements","Supplements","","","","","","","3","","","","","",".4g Magnesium","400 mg","2026-06-14T14:02:01.472Z"
"Nutrition","2026-06-14","Supplements","Supplements","","","","","","","","","","","","","Vitamin D3","2000 IU","2026-06-14T14:01:11.302Z"
"Nutrition","2026-06-14","Dinner","Dinner","","","","","","","873","48","105","26","4","","100g Naan Bread; 2.5serving Butter Chicken Meal","","2026-06-14T11:37:15.204Z"
"Nutrition","2026-06-14","Protein","Protein","","","","","","","242","48","8","2","2","","62g Whey Protein Powder","","2026-06-14T09:52:25.028Z"
"Nutrition","2026-06-14","Lunch","Lunch","","","","","","","1041","73","153","29","51","","108g Mango; 100g Avocado; 150g Red Rice (Cooked); 100g Grilled Tempeh; 150g Tuna Sashimi; 600ml Coconut Water","","2026-06-14T07:37:26.043Z"
"Nutrition","2026-06-14","Snack","Snack","","","","","","","90","1","23","","12","","1serving Banana","","2026-06-14T03:22:09.936Z"
"Nutrition","2026-06-14","Breakfast","Breakfast","","","","","","","825","40","100","30","5","","1serving Bagel BLT","","2026-06-14T03:21:47.237Z"
"Workout","2026-06-14","Sauna","recovery","1","","","","11","11","90","","","","","115","","","2026-06-14T07:35:24.228Z"
"Workout","2026-06-14","Shoulders","shoulders","1","1","","1","2","62","398","","","","","104","","","2026-06-14T07:34:59.545Z"
"Workout","2026-06-14","Calf Raises","legs","3","15","60","","","","","","","","","","","",""
"Workout","2026-06-14","Calf Raises","legs","2","15","60","","","","","","","","","","","",""
"Workout","2026-06-14","Calf Raises","legs","1","20","40","","","","","","","","","","","","2026-06-14T06:00:20.203Z"
"Workout","2026-06-14","Shoulder Shrugs","shoulders","4","12","32.5","","","","","","","","","","","",""
"Workout","2026-06-14","Shoulder Shrugs","shoulders","3","12","32.5","","","","","","","","","","","",""
"Workout","2026-06-14","Shoulder Shrugs","shoulders","2","12","32.5","","","","","","","","","","","",""
"Workout","2026-06-14","Shoulder Shrugs","shoulders","1","18","28","","","","","","","","","","","","2026-06-14T05:54:32.748Z"
"Workout","2026-06-14","Lat Raises Machine","shoulders","4","8","55","","","","","","","","","","","",""
"Workout","2026-06-14","Lat Raises Machine","shoulders","3","9","55","","","","","","","","","","","",""
"Workout","2026-06-14","Lat Raises Machine","shoulders","2","9","55","","","","","","","","","","","",""
"Workout","2026-06-14","Lat Raises Machine","shoulders","1","10","55","","","","","","","","","","","","2026-06-14T05:44:29.955Z"
"Workout","2026-06-14","Face Pull","shoulders","4","11","57.5","","","","","","","","","","","",""
"Workout","2026-06-14","Face Pull","shoulders","3","12","57.5","","","","","","","","","","","",""
"Workout","2026-06-14","Face Pull","shoulders","2","15","50","","","","","","","","","","","",""
"Workout","2026-06-14","Face Pull","shoulders","1","15","50","","","","","","","","","","","","2026-06-14T05:33:31.036Z"
"Workout","2026-06-14","Hip Abductor Machine","legs","4","8","80","","","","","","","","","","","",""
"Workout","2026-06-14","Hip Abductor Machine","legs","3","11","80","","","","","","","","","","","",""
"Workout","2026-06-14","Hip Abductor Machine","legs","2","11","80","","","","","","","","","","","",""
"Workout","2026-06-14","Hip Abductor Machine","legs","1","15","72.5","","","","","","","","","","","","2026-06-14T05:24:05.829Z"
"Workout","2026-06-14","Hip Adductors","legs","4","8","50","","","","","","","","","","","",""
"Workout","2026-06-14","Hip Adductors","legs","3","8","50","","","","","","","","","","","",""
"Workout","2026-06-14","Hip Adductors","legs","2","10","50","","","","","","","","","","","",""
"Workout","2026-06-14","Hip Adductors","legs","1","15","45","","","","","","","","","","","","2026-06-14T05:12:53.526Z"
"Workout","2026-06-14","Rear Delt Fly Machine","shoulders","4","8","72.5","","","","","","","","","","","",""
"Workout","2026-06-14","Rear Delt Fly Machine","shoulders","3","10","72.5","","","","","","","","","","","",""
"Workout","2026-06-14","Rear Delt Fly Machine","shoulders","2","12","65","","","","","","","","","","","",""
"Workout","2026-06-14","Rear Delt Fly Machine","shoulders","1","15","50","","","","","","","","","","","","2026-06-14T05:04:47.457Z"
"Nutrition","2026-06-13","Dinner","Dinner","","","","","","","2612","101","445","44","293","","200g Tuna Sashimi; 100g BBQ Ribs (Pork); 300g White Rice (Cooked); 2serving Pizza Slice; 900ml Pocari Sweat (500ml can)","","2026-06-13T11:08:21.465Z"
"Nutrition","2026-06-13","Snack","Snack","","","","","","","180","2","46","","24","","2serving Banana","","2026-06-13T11:06:35.583Z"
"Nutrition","2026-06-13","Snack","Snack","","","","","","","520","12","110","3","31","","200g White Rice (Cooked); 2serving Banana; 1serving Cappuccino","","2026-06-13T07:23:06.205Z"
"Nutrition","2026-06-13","Breakfast","Breakfast","","","","","","","897","53","98","34","27","","150g Waffles; 16g Whey Protein Powder; 50g Banana; 35g Mango; 30g Strawberries; 50g Chicken Breast; 1serving Scrambled Eggs (2); 50g Stir Fry Vegetables","","2026-06-13T03:36:03.125Z"
"Nutrition","2026-06-13","Breakfast","Breakfast","","","","","","","285","29","29","3","4","","31g Whey Protein Powder; 31g Mass Gainer Protein; 5g Creatine (5g); 5g Chia Seeds","","2026-06-13T03:34:34.737Z"
"Workout","2026-06-13","Pickleball","pickleball","1","","","2","20","140","1587","","","","","138","","","2026-06-13T12:54:49.531Z"
"Nutrition","2026-06-12","Dinner","Dinner","","","","","","","63","","15","","15","","250ml Pocari Sweat (100ml)","","2026-06-12T11:28:17.259Z"
"Nutrition","2026-06-12","Dinner","Dinner","","","","","","","642","60","66","17","3","","150g Salmon Nigiri; 150g Tuna Sashimi; 100g White Rice (Cooked); 50g Avocado; 50g Cucumber; 50g Edamame","","2026-06-12T11:27:57.064Z"
"Nutrition","2026-06-12","Snack","Snack","","","","","","","133","5","4","11","1","","20g Peanuts","","2026-06-12T09:21:07.781Z"
"Nutrition","2026-06-12","Lunch","Lunch","","","","","","","61","3","5","3","5","","100ml Milk (Whole)","","2026-06-12T09:20:53.847Z"
"Nutrition","2026-06-12","Lunch","Lunch","","","","","","","61","3","5","3","5","","100ml Milk (Whole)","","2026-06-12T07:59:33.408Z"
"Nutrition","2026-06-12","Lunch","Lunch","","","","","","","1376","97","149","44","53","","150g Waffles; 16g Whey Protein Powder; 200g Chicken Breast; 100g Avocado; 200g Stir Fry Vegetables; 500ml Coconut Water (250ml)","","2026-06-12T07:06:51.426Z"
"Nutrition","2026-06-12","Breakfast","Breakfast","","","","","","","111","5","15","3","9","","1serving Cappuccino; 25ml Ginger Root; 25ml Beetroot","","2026-06-12T02:26:40.235Z"
"Nutrition","2026-06-12","Breakfast","Breakfast","","","","","","","648","45","53","27","3","","90g Sourdough Bread; 1serving Scrambled Eggs (2); 50g Ham; 60g Mozzarella","","2026-06-12T02:25:52.236Z"
"Nutrition","2026-06-12","Breakfast","Breakfast","","","","","","","285","29","29","3","4","","31g Whey Protein Powder; 31g Mass Gainer Protein; 5g Creatine (5g); 5g Chia Seeds","","2026-06-12T02:25:36.821Z"
"Workout","2026-06-12","Arms","triceps","1","1","","1","10","70","486","","","","","109","","","2026-06-12T05:59:54.550Z"
"Workout","2026-06-12","Hanging Knee Tucks","core","5","10","","","","","","","","","","","","",""
"Workout","2026-06-12","Hanging Knee Tucks","core","4","10","","","","","","","","","","","","",""
"Workout","2026-06-12","Hanging Knee Tucks","core","3","10","","","","","","","","","","","","",""
"Workout","2026-06-12","Hanging Knee Tucks","core","2","10","","","","","","","","","","","","",""
"Workout","2026-06-12","Hanging Knee Tucks","core","1","10","","","","","","","","","","","","","2026-06-12T05:59:23.394Z"
"Workout","2026-06-12","Tricep Dips","triceps","3","15","","","","","","","","","","","","",""
"Workout","2026-06-12","Tricep Dips","triceps","2","15","","","","","","","","","","","","",""
"Workout","2026-06-12","Tricep Dips","triceps","1","15","","","","","","","","","","","","","2026-06-12T05:58:39.795Z"
"Workout","2026-06-12","Cable Lateral Raise","shoulders","4","6","15","","","","","","","","","","","",""
"Workout","2026-06-12","Cable Lateral Raise","shoulders","3","8","15","","","","","","","","","","","",""
"Workout","2026-06-12","Cable Lateral Raise","shoulders","2","8","15","","","","","","","","","","","",""
"Workout","2026-06-12","Cable Lateral Raise","shoulders","1","10","10","","","","","","","","","","","","2026-06-12T05:46:43.162Z"
"Workout","2026-06-12","Plate Side Bends","core","4","20","28","","","","","","","","","","","",""
"Workout","2026-06-12","Plate Side Bends","core","3","20","28","","","","","","","","","","","",""
"Workout","2026-06-12","Plate Side Bends","core","2","20","28","","","","","","","","","","","",""
"Workout","2026-06-12","Plate Side Bends","core","1","20","26","","","","","","","","","","","","2026-06-12T05:37:22.137Z"
