Type,Date,Exercise / Meal,Category / Meal Type,Set Number,Reps,Weight (kg),Duration (hrs),Duration (mins),Total Duration (mins),Calories (kcal),Protein (g),Carbs (g),Fat (g),Sugar (g),Heart Rate (bpm),Foods,Notes,Logged At (UTC)
"Nutrition","2026-09-09","Snack","Snack","","","","","","","175","","42","","42","","700ml Pocari Sweat (100ml)","","2026-09-09T08:53:12.335Z"
"Nutrition","2026-09-09","Snack","Snack","","","","","","","110","2","30","","27","","40g Dates","","2026-09-09T08:52:58.992Z"
"Nutrition","2026-09-09","Snack","Snack","","","","","","","170","6","6","15","1","","30g Rosemary Almonds","","2026-09-09T08:36:22.047Z"
"Nutrition","2026-09-09","Protein","Protein","","","","","","","320","54","8","3","1","","45g Whey Protein Powder; 20g Collagen Peptides; 5g Chia Seeds; 10g Creatine (5g)","","2026-09-09T07:45:06.284Z"
"Nutrition","2026-09-09","Breakfast","Breakfast","","","","","","","1022","59","120","35","32","","2serving Banana; 125g Ground Beef 80/20; 1serving Boiled Eggs (2); 40g Sourdough Bread; 150g White Rice (Cooked); 1serving Cappuccino","","2026-09-09T03:33:10.954Z"
"Workout","2026-09-09","Push","chest","1","1","","","84","84","443","","","","","107","","","2026-09-09T06:16:58.284Z"
"Workout","2026-09-09","Abs","core","6","20","10","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","5","20","10","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","4","20","10","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","3","10","10","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","2","10","10","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","1","10","10","","","","","","","","","","","","2026-09-09T06:14:08.175Z"
"Workout","2026-09-09","Abs","core","6","10","","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","5","10","","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","4","10","","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","3","10","","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","2","10","","","","","","","","","","","","",""
"Workout","2026-09-09","Abs","core","1","10","","","","","","","","","","","","","2026-09-09T05:59:29.975Z"
"Workout","2026-09-09","Incline Press","chest","3","5","110","","","","","","","","","","","",""
"Workout","2026-09-09","Incline Press","chest","2","5","120","","","","","","","","","","","",""
"Workout","2026-09-09","Incline Press","chest","1","12","100","","","","","","","","","","","","2026-09-09T05:52:28.227Z"
"Workout","2026-09-09","Seated Lateral Raises Machine","shoulders","3","10","20","","","","","","","","","","","",""
"Workout","2026-09-09","Seated Lateral Raises Machine","shoulders","2","10","20","","","","","","","","","","","",""
"Workout","2026-09-09","Seated Lateral Raises Machine","shoulders","1","10","20","","","","","","","","","","","","2026-09-09T05:39:32.890Z"
"Workout","2026-09-09","Shoulder Press Machine","shoulders","3","9","80","","","","","","","","","","","",""
"Workout","2026-09-09","Shoulder Press Machine","shoulders","2","15","60","","","","","","","","","","","",""
"Workout","2026-09-09","Shoulder Press Machine","shoulders","1","15","40","","","","","","","","","","","","2026-09-09T05:32:52.724Z"
"Workout","2026-09-09","Rear Delt Fly Machine","shoulders","3","10","72.5","","","","","","","","","","","",""
"Workout","2026-09-09","Rear Delt Fly Machine","shoulders","2","10","72.5","","","","","","","","","","","",""
"Workout","2026-09-09","Rear Delt Fly Machine","shoulders","1","15","65","","","","","","","","","","","","2026-09-09T05:11:58.184Z"
"Workout","2026-09-09","Fly Machine","chest","3","9","102.5","","","","","","","","","","","",""
"Workout","2026-09-09","Fly Machine","chest","2","10","95","","","","","","","","","","","",""
"Workout","2026-09-09","Fly Machine","chest","1","12","87.5","","","","","","","","","","","","2026-09-09T05:02:37.391Z"
"Workout","2026-09-09","Standing Chest Flies","chest","3","12","125","","","","","","","","","","","",""
"Workout","2026-09-09","Standing Chest Flies","chest","2","15","125","","","","","","","","","","","",""
"Workout","2026-09-09","Standing Chest Flies","chest","1","15","125","","","","","","","","","","","","2026-09-09T04:52:46.516Z"
"Nutrition","2026-09-08","Dinner","Dinner","","","","","","","1249","56","78","82","8","","150g Beef Patty; 100g Sweet Potato Fries; 100g White Rice (Cooked); 100g Avocado; 50g Broccoli; 20g Olive Oil; 25g Cheddar Cheese","","2026-09-08T13:37:20.123Z"
"Nutrition","2026-09-08","Protein","Protein","","","","","","","611","34","86","21","","","1serving The 100 Protein Shake","","2026-09-08T09:30:20.510Z"
"Nutrition","2026-09-08","Lunch","Lunch","","","","","","","624","65","36","23","7","","200g Beef Tenderloin; 100g White Rice (Cooked); 1serving Cappuccino","","2026-09-08T07:31:58.256Z"
"Nutrition","2026-09-08","Lunch","Lunch","","","","","","","225","","54","","54","","900ml Pocari Sweat","","2026-09-08T06:30:56.961Z"
"Nutrition","2026-09-08","Protein","Protein","","","","","","","320","54","8","3","1","","45g Whey Protein Powder; 20g Collagen Peptides; 5g Chia Seeds; 10g Creatine (5g)","","2026-09-08T06:22:04.096Z"
"Nutrition","2026-09-08","Lunch","Lunch","","","","","","","90","1","23","","12","","1serving Banana","","2026-09-08T04:17:33.990Z"
"Nutrition","2026-09-08","Breakfast","Breakfast","","","","","","","80","4","8","3","7","","1serving Cappuccino","","2026-09-08T03:43:43.196Z"
"Nutrition","2026-09-08","Breakfast","Breakfast","","","","","","","420","8","78","10","13","","1serving Mango Smoothie Bowl","","2026-09-08T03:43:31.937Z"
"Nutrition","2026-09-08","Breakfast","Breakfast","","","","","","","560","22","34","38","","","1serving Brown Butter Scramble","","2026-09-08T03:43:24.025Z"
"Workout","2026-09-08","Sauna","recovery","1","","","","10","10","","","","","","","","","2026-09-08T13:49:58.766Z"
"Workout","2026-09-08","Sauna","recovery","1","","","","10","10","","","","","","","","","2026-09-08T13:49:53.489Z"
"Workout","2026-09-08","Calf Raises","legs","4","15","60","","","","","","","","","","","",""
"Workout","2026-09-08","Calf Raises","legs","3","20","60","","","","","","","","","","","",""
"Workout","2026-09-08","Calf Raises","legs","2","20","60","","","","","","","","","","","",""
"Workout","2026-09-08","Calf Raises","legs","1","25","40","","","","","","","","","","","","2026-09-08T05:06:05.121Z"
"Workout","2026-09-08","Leg Press","legs","4","15","97.5","","","","","","","","","","","",""
"Workout","2026-09-08","Leg Press","legs","3","18","90","","","","","","","","","","","",""
"Workout","2026-09-08","Leg Press","legs","2","20","82.5","","","","","","","","","","","",""
"Workout","2026-09-08","Leg Press","legs","1","22","67.5","","","","","","","","","","","","2026-09-08T04:54:37.419Z"
"Workout","2026-09-08","Hip Abductor Machine","legs","4","12","87.5","","","","","","","","","","","",""
"Workout","2026-09-08","Hip Abductor Machine","legs","3","12","87.5","","","","","","","","","","","",""
"Workout","2026-09-08","Hip Abductor Machine","legs","2","15","80","","","","","","","","","","","",""
"Workout","2026-09-08","Hip Abductor Machine","legs","1","16","72.5","","","","","","","","","","","","2026-09-08T04:43:40.189Z"
"Workout","2026-09-08","Hip Adductor","legs","4","10","50","","","","","","","","","","","",""
"Workout","2026-09-08","Hip Adductor","legs","3","8","57.5","","","","","","","","","","","",""
"Workout","2026-09-08","Hip Adductor","legs","2","12","57.5","","","","","","","","","","","",""
"Workout","2026-09-08","Hip Adductor","legs","1","12","57.5","","","","","","","","","","","","2026-09-08T04:35:26.617Z"
"Nutrition","2026-09-07","Snack","Snack","","","","","","","122","6","10","6","10","","200ml Milk (Whole)","","2026-09-07T15:21:42.742Z"
"Nutrition","2026-09-07","Dinner","Dinner","","","","","","","380","30","15","20","","","150g Fried Chicken","","2026-09-07T15:21:20.091Z"
"Nutrition","2026-09-07","Dinner","Dinner","","","","","","","900","40","75","48","","","1serving Chachu Ramen","","2026-09-07T15:20:34.153Z"
"Nutrition","2026-09-07","Snack","Snack","","","","","","","228","3","61","","46","","50g Dates; 1serving Banana","","2026-09-07T07:28:10.054Z"
"Nutrition","2026-09-07","Protein","Protein","","","","","","","320","54","8","3","1","","45g Whey Protein Powder; 20g Collagen Peptides; 5g Chia Seeds; 10g Creatine (5g)","","2026-09-07T06:31:36.759Z"
"Nutrition","2026-09-07","Lunch","Lunch","","","","","","","230","10","45","","30","","500ml Coconut Water (250ml)","","2026-09-07T06:30:48.300Z"
"Nutrition","2026-09-07","Lunch","Lunch","","","","","","","1050","60","80","11","","","1serving Salmon Kebab","","2026-09-07T06:30:37.392Z"
"Nutrition","2026-09-07","Snack","Snack","","","","","","","138","2","38","","34","","50g Dates","","2026-09-07T02:48:03.080Z"
"Nutrition","2026-09-07","Breakfast","Breakfast","","","","","","","422","15","48","22","28","","1serving Banana; 100g Greek Yogurt (Plain); 100g Mango; 25g Pecans; 5g Chia Seeds","","2026-09-07T02:00:10.500Z"
"Workout","2026-09-07","Pickleball","pickleball","1","","","3","","180","1333","","","","","115","","","2026-09-07T15:22:19.199Z"
"Workout","2026-09-07","Plate Side Bends","shoulders","3","8","32.5","","","","","","","","","","","",""
"Workout","2026-09-07","Plate Side Bends","shoulders","2","10","32.5","","","","","","","","","","","",""
"Workout","2026-09-07","Plate Side Bends","shoulders","1","10","32.5","","","","","","","","","","","Reps per side","2026-09-07T05:15:54.864Z"
"Workout","2026-09-07","Abs - Cable Crunches","core","4","12","102.5","","","","","","","","","","","",""
"Workout","2026-09-07","Abs - Cable Crunches","core","3","15","102.5","","","","","","","","","","","",""
"Workout","2026-09-07","Abs - Cable Crunches","core","2","18","95","","","","","","","","","","","",""
"Workout","2026-09-07","Abs - Cable Crunches","core","1","20","87.5","","","","","","","","","","","","2026-09-07T04:51:48.543Z"
"Workout","2026-09-07","Preacher Curls","biceps","3","9","30","","","","","","","","","","","",""
"Workout","2026-09-07","Preacher Curls","biceps","2","9","30","","","","","","","","","","","",""
"Workout","2026-09-07","Preacher Curls","biceps","1","11","30","","","","","","","","","","","","2026-09-07T04:41:02.203Z"
"Workout","2026-09-07","Hammer Curls","biceps","3","18","20","","","","","","","","","","","",""
"Workout","2026-09-07","Hammer Curls","biceps","2","20","18","","","","","","","","","","","",""
"Workout","2026-09-07","Hammer Curls","biceps","1","20","16","","","","","","","","","","","","2026-09-07T04:24:31.520Z"
"Workout","2026-09-07","Lat Pulldown","back","3","8","75","","","","","","","","","","","",""
"Workout","2026-09-07","Lat Pulldown","back","2","8","75","","","","","","","","","","","",""
"Workout","2026-09-07","Lat Pulldown","back","1","12","67.5","","","","","","","","","","","","2026-09-07T04:03:27.178Z"
"Workout","2026-09-07","Rows Machine","back","3","11","60","","","","","","","","","","","",""
"Workout","2026-09-07","Rows Machine","back","2","12","60","","","","","","","","","","","",""
"Workout","2026-09-07","Rows Machine","back","1","15","52.5","","","","","","","","","","","","2026-09-07T03:54:35.508Z"
"Nutrition","2026-09-06","Dinner","Dinner","","","","","","","513","23","65","21","16","","75g Chicken Thigh; 200g Mashed Potato; 50g Cucumber; 50g Cherry Tomato; 40g Avocado; 1serving Banana","","2026-09-06T16:04:41.757Z"
"Nutrition","2026-09-06","Lunch","Lunch","","","","","","","500","28","48","21","30","","1.5serving Scrambled Eggs; 500ml Coconut Water (250ml)","","2026-09-06T07:11:32.773Z"
"Nutrition","2026-09-06","Lunch","Lunch","","","","","","","714","64","44","32","","","75g Fried Chicken; 150g Chicken Thigh; 100g Yellow Rice; 70g Tempeh","","2026-09-06T07:10:54.102Z"
"Nutrition","2026-09-06","Lunch","Lunch","","","","","","","80","4","8","3","7","","1serving Cappuccino","","2026-09-06T06:08:43.467Z"
"Nutrition","2026-09-06","Lunch","Lunch","","","","","","","230","10","45","","30","","500ml Coconut Water (250ml)","","2026-09-06T06:08:29.713Z"
"Nutrition","2026-09-06","Protein","Protein","","","","","","","320","54","8","3","1","","45g Whey Protein Powder; 20g Collagen Peptides; 5g Chia Seeds; 10g Creatine (5g)","","2026-09-06T04:00:29.056Z"
"Nutrition","2026-09-06","Breakfast","Breakfast","","","","","","","420","8","78","10","13","","1serving Mango Smoothie Bowl","","2026-09-06T04:00:07.510Z"
"Nutrition","2026-09-06","Breakfast","Breakfast","","","","","","","80","4","8","3","7","","1serving Cappuccino","","2026-09-06T03:59:52.248Z"
"Nutrition","2026-09-06","Breakfast","Breakfast","","","","","","","180","12","2","14","","","1serving Scrambled Eggs (2)","","2026-09-06T03:59:40.162Z"
"Nutrition","2026-09-06","Breakfast","Breakfast","","","","","","","490","9","98","9","46","","80g Brioche Bun; 2serving Banana; 15g Honey","","2026-09-06T03:59:22.964Z"
"Workout","2026-09-06","Massage","recovery","1","","","1","","60","","","","","","","","","2026-09-07T15:25:04.672Z"
"Workout","2026-09-06","Sauna","recovery","1","","","","13","13","","","","","","","","","2026-09-06T05:49:07.780Z"
"Workout","2026-09-06","Push","chest","1","1","","","73","73","567","","","","","111","","","2026-09-06T04:02:56.198Z"
"Workout","2026-09-06","Overhead Tricep Extension","triceps","2","10","40","","","","","","","","","","","",""
"Workout","2026-09-06","Overhead Tricep Extension","triceps","1","12","40","","","","","","","","","","","","2026-09-06T03:49:44.755Z"
"Workout","2026-09-06","Tricep Pulldowns","triceps","2","8","40","","","","","","","","","","","",""
"Workout","2026-09-06","Tricep Pulldowns","triceps","1","12","40","","","","","","","","","","","","2026-09-06T03:49:20.639Z"
"Workout","2026-09-06","Lateral Raises Machine","shoulders","3","7","55","","","","","","","","","","","",""
"Workout","2026-09-06","Lateral Raises Machine","shoulders","2","9","55","","","","","","","","","","","",""
"Workout","2026-09-06","Lateral Raises Machine","shoulders","1","12","50","","","","","","","","","","","","2026-09-06T03:44:41.808Z"
"Workout","2026-09-06","Rear Delt Fly Machine","shoulders","3","10","72.5","","","","","","","","","","","",""
"Workout","2026-09-06","Rear Delt Fly Machine","shoulders","2","12","65","","","","","","","","","","","",""
"Workout","2026-09-06","Rear Delt Fly Machine","shoulders","1","15","57.5","","","","","","","","","","","","2026-09-06T03:39:15.432Z"
"Workout","2026-09-06","Fly Machine","chest","3","10","87.5","","","","","","","","","","","",""
"Workout","2026-09-06","Fly Machine","chest","2","12","80","","","","","","","","","","","",""
"Workout","2026-09-06","Fly Machine","chest","1","15","72.5","","","","","","","","","","","","2026-09-06T03:30:06.075Z"
"Workout","2026-09-06","Tricep Dips","triceps","3","10","","","","","","","","","","","","",""
"Workout","2026-09-06","Tricep Dips","triceps","2","15","","","","","","","","","","","","",""
"Workout","2026-09-06","Tricep Dips","triceps","1","15","","","","","","","","","","","","","2026-09-06T03:22:39.799Z"
"Workout","2026-09-06","Abs","core","6","20","10","","","","","","","","","","","",""
"Workout","2026-09-06","Abs","core","5","15","10","","","","","","","","","","","",""
"Workout","2026-09-06","Abs","core","4","15","10","","","","","","","","","","","",""
"Workout","2026-09-06","Abs","core","3","20","10","","","","","","","","","","","",""
"Workout","2026-09-06","Abs","core","2","20","10","","","","","","","","","","","",""
"Workout","2026-09-06","Abs","core","1","15","10","","","","","","","","","","","","2026-09-06T03:21:43.722Z"
"Workout","2026-09-06","Standing Chest Flies","chest","3","12","125","","","","","","","","","","","",""
"Workout","2026-09-06","Standing Chest Flies","chest","2","13","125","","","","","","","","","","","",""
"Workout","2026-09-06","Standing Chest Flies","chest","1","14","125","","","","","","","","","","","","2026-09-06T03:03:33.346Z"
"Workout","2026-09-06","Bench Press Machine","chest","3","6","110","","","","","","","","","","","",""
"Workout","2026-09-06","Bench Press Machine","chest","2","10","100","","","","","","","","","","","",""
"Workout","2026-09-06","Bench Press Machine","chest","1","12","80","","","","","","","","","","","","2026-09-06T02:56:40.791Z"
"Workout","2026-09-06","Face Pull","shoulders","3","13","57.5","","","","","","","","","","","",""
"Workout","2026-09-06","Face Pull","shoulders","2","17","50","","","","","","","","","","","",""
"Workout","2026-09-06","Face Pull","shoulders","1","20","40","","","","","","","","","","","","2026-09-06T02:46:09.467Z"
"Nutrition","2026-09-05","Snack","Snack","","","","","","","178","2","47","","36","","40g Dates; .75serving Banana","","2026-09-05T13:27:48.462Z"
"Nutrition","2026-09-05","Dinner","Dinner","","","","","","","125","3","30","","25","","250ml Carrot Orange Juice","","2026-09-05T12:02:34.281Z"
"Nutrition","2026-09-05","Dinner","Dinner","","","","","","","402","18","50","16","4","","175g Nasi Goreng; 1serving Boiled Egg","","2026-09-05T12:00:02.294Z"
"Nutrition","2026-09-05","Dinner","Dinner","","","","","","","414","58","","20","","","200g Beef Tenderloin","","2026-09-05T11:59:32.980Z"
"Nutrition","2026-09-05","Snack","Snack","","","","","","","88","","21","","21","","350ml Pocari Sweat","","2026-09-05T09:48:20.730Z"
"Nutrition","2026-09-05","Protein","Protein","","","","","","","320","54","8","3","1","","45g Whey Protein Powder; 20g Collagen Peptides; 5g Chia Seeds; 10g Creatine (5g)","","2026-09-05T09:00:10.985Z"
"Nutrition","2026-09-05","Breakfast","Breakfast","","","","","","","560","22","34","38","","","1serving Brown Butter Scramble","","2026-09-05T08:59:35.995Z"
"Nutrition","2026-09-05","Lunch","Lunch","","","","","","","1036","69","115","34","44","","100g Beef Patty; 100g Chicken Breast; 200g Red Rice; 100g Mango; 80g Avocado; 500ml Coconut Water (250ml)","","2026-09-05T08:59:09.870Z"
"Nutrition","2026-09-05","Snack","Snack","","","","","","","63","","15","","15","","250ml Pocari Sweat","","2026-09-05T02:14:20.709Z"
"Nutrition","2026-09-05","Breakfast","Breakfast","","","","","","","420","8","78","10","13","","1serving Mango Smoothie Bowl","","2026-09-05T02:13:39.015Z"
"Workout","2026-09-05","Sauna","recovery","1","","","","11","11","","","","","","","","","2026-09-05T08:58:57.926Z"
"Workout","2026-09-05","Legs","legs","1","1","","","69","69","440","","","","","103","","","2026-09-05T05:26:44.854Z"
"Workout","2026-09-05","Calf Raises","legs","4","15","60","","","","","","","","","","","",""
"Workout","2026-09-05","Calf Raises","legs","3","15","60","","","","","","","","","","","",""
"Workout","2026-09-05","Calf Raises","legs","2","15","60","","","","","","","","","","","",""
"Workout","2026-09-05","Calf Raises","legs","1","20","40","","","","","","","","","","","","2026-09-05T05:20:13.004Z"
"Workout","2026-09-05","RDLs","legs","4","8","55","","","","","","","","","","","",""
"Workout","2026-09-05","RDLs","legs","3","10","55","","","","","","","","","","","",""
"Workout","2026-09-05","RDLs","legs","2","10","55","","","","","","","","","","","",""
"Workout","2026-09-05","RDLs","legs","1","12","35","","","","","","","","","","","","2026-09-05T05:07:32.888Z"
"Workout","2026-09-05","Leg Press","legs","4","22","82.5","","","","","","","","","","","",""
"Workout","2026-09-05","Leg Press","legs","3","22","67.5","","","","","","","","","","","",""
"Workout","2026-09-05","Leg Press","legs","2","20","52.5","","","","","","","","","","","",""
"Workout","2026-09-05","Leg Press","legs","1","25","37.5","","","","","","","","","","","","2026-09-05T04:54:07.471Z"
"Workout","2026-09-05","Hip Adductors","legs","4","10","50","","","","","","","","","","","",""
"Workout","2026-09-05","Hip Adductors","legs","3","8","57.5","","","","","","","","","","","",""
"Workout","2026-09-05","Hip Adductors","legs","2","13","57.5","","","","","","","","","","","",""
"Workout","2026-09-05","Hip Adductors","legs","1","12","57.5","","","","","","","","","","","","2026-09-05T04:38:01.515Z"
"Workout","2026-09-05","Hip Abductor Machine","legs","4","15","80","","","","","","","","","","","",""
"Workout","2026-09-05","Hip Abductor Machine","legs","3","12","80","","","","","","","","","","","",""
"Workout","2026-09-05","Hip Abductor Machine","legs","2","13","80","","","","","","","","","","","",""
"Workout","2026-09-05","Hip Abductor Machine","legs","1","15","72.5","","","","","","","","","","","","2026-09-05T04:29:45.290Z"
"Nutrition","2026-09-04","Dinner","Dinner","","","","","","","368","16","72","","48","","800ml Coconut Water (250ml)","","2026-09-04T10:44:10.125Z"
"Nutrition","2026-09-04","Dinner","Dinner","","","","","","","1002","53","70","55","11","","1.4serving Beef Burger; 15g Cheddar Cheese; 25g Parmesan Cheese; 25g French Fries","","2026-09-04T10:43:41.526Z"
"Nutrition","2026-09-04","Snack","Snack","","","","","","","185","6","25","6","25","","200ml Milk (Whole); 250ml Pocari Sweat","","2026-09-04T09:03:55.621Z"
"Nutrition","2026-09-04","Lunch","Lunch","","","","","","","1036","69","115","34","44","","100g Beef Patty; 100g Chicken Breast; 200g Red Rice; 100g Mango; 80g Avocado; 500ml Coconut Water (250ml)","","2026-09-04T07:31:17.282Z"
"Nutrition","2026-09-04","Protein","Protein","","","","","","","225","43","6","2","1","","20g Collagen Peptides; 31g Whey Protein Powder; 10g Creatine; 5g Chia Seeds","","2026-09-04T06:30:29.352Z"
"Nutrition","2026-09-04","Breakfast","Breakfast","","","","","","","200","6","32","6","28","","1serving Hot Chocolate","","2026-09-04T03:06:52.758Z"
"Nutrition","2026-09-04","Breakfast","Breakfast","","","","","","","159","2","42","","29","","1serving Banana; 25g Dates","","2026-09-04T03:06:37.138Z"
"Nutrition","2026-09-04","Breakfast","Breakfast","","","","","","","450","20","35","14","2","","1serving Breakfast Burrito","","2026-09-04T03:06:21.211Z"
"Workout","2026-09-04","Ice Bath","recovery","1","","","","2","2","","","","","","","","","2026-09-04T09:20:20.659Z"
"Workout","2026-09-04","Sauna","recovery","1","","","","11","11","","","","","","","","","2026-09-04T07:46:26.441Z"
"Workout","2026-09-04","Pull","back","1","1","","1","10","70","680","","","","","121","","","2026-09-04T05:57:06.112Z"
"Workout","2026-09-04","Abs - Cable Crunches","core","4","15","87.5","","","","","","","","","","","",""
"Workout","2026-09-04","Abs - Cable Crunches","core","3","15","87.5","","","","","","","","","","","",""
"Workout","2026-09-04","Abs - Cable Crunches","core","2","15","87.5","","","","","","","","","","","",""
"Workout","2026-09-04","Abs - Cable Crunches","core","1","20","72.5","","","","","","","","","","","","2026-09-04T05:56:12.933Z"
"Workout","2026-09-04","Plate Side Bends","shoulders","3","10","30","","","","","","","","","","","",""
"Workout","2026-09-04","Plate Side Bends","shoulders","2","10","30","","","","","","","","","","","",""
"Workout","2026-09-04","Plate Side Bends","shoulders","1","10","30","","","","","","","","","","","Reps per side","2026-09-04T05:48:48.932Z"
"Workout","2026-09-04","Hammer Curls","biceps","4","20","16","","","","","","","","","","","",""
"Workout","2026-09-04","Hammer Curls","biceps","3","20","16","","","","","","","","","","","",""
"Workout","2026-09-04","Hammer Curls","biceps","2","20","16","","","","","","","","","","","",""
"Workout","2026-09-04","Hammer Curls","biceps","1","20","16","","","","","","","","","","","","2026-09-04T05:46:48.015Z"
"Workout","2026-09-04","Rear Delt Fly Machine","shoulders","4","8","57.5","","","","","","","","","","","",""
"Workout","2026-09-04","Rear Delt Fly Machine","shoulders","3","7","65","","","","","","","","","","","",""
"Workout","2026-09-04","Rear Delt Fly Machine","shoulders","2","8","65","","","","","","","","","","","",""
"Workout","2026-09-04","Rear Delt Fly Machine","shoulders","1","15","50","","","","","","","","","","","","2026-09-04T05:34:40.877Z"
"Workout","2026-09-04","Incline Dumbbell Curl","biceps","3","12","16","","","","","","","","","","","",""
"Workout","2026-09-04","Incline Dumbbell Curl","biceps","2","10","16","","","","","","","","","","","",""
"Workout","2026-09-04","Incline Dumbbell Curl","biceps","1","8","16","","","","","","","","","","","","2026-09-04T05:27:44.066Z"
"Workout","2026-09-04","Barbell Curls","biceps","3","6","35","","","","","","","","","","","",""
"Workout","2026-09-04","Barbell Curls","biceps","2","7","35","","","","","","","","","","","",""
"Workout","2026-09-04","Barbell Curls","biceps","1","10","20","","","","","","","","","","","","2026-09-04T05:16:59.288Z"
"Workout","2026-09-04","Rows Machine","back","4","6","60","","","","","","","","","","","",""
"Workout","2026-09-04","Rows Machine","back","3","10","52.5","","","","","","","","","","","",""
"Workout","2026-09-04","Rows Machine","back","2","10","52.5","","","","","","","","","","","",""
"Workout","2026-09-04","Rows Machine","back","1","12","45","","","","","","","","","","","","2026-09-04T05:10:18.983Z"
"Workout","2026-09-04","Lat Pulldown","back","3","8","67.5","","","","","","","","","","","",""
"Workout","2026-09-04","Lat Pulldown","back","2","8","67.5","","","","","","","","","","","",""
"Workout","2026-09-04","Lat Pulldown","back","1","6","75","","","","","","","","","","","","2026-09-04T05:03:48.746Z"
"Workout","2026-09-04","Pull-ups","back","3","8","","","","","","","","","","","","",""
"Workout","2026-09-04","Pull-ups","back","2","12","","","","","","","","","","","","",""
"Workout","2026-09-04","Pull-ups","back","1","12","","","","","","","","","","","","","2026-09-04T04:56:30.798Z"
"Nutrition","2026-09-03","Dinner","Dinner","","","","","","","750","40","85","40","","","500g Tiflis","","2026-09-04T03:08:28.102Z"
"Nutrition","2026-09-03","Protein","Protein","","","","","","","201","42","4","1","1","","31g Whey Protein Powder; 20g Collagen Peptides; 10g Creatine","","2026-09-03T08:16:13.358Z"
"Nutrition","2026-09-03","Lunch","Lunch","","","","","","","230","10","45","","30","","500ml Coconut Water (250ml)","","2026-09-03T08:15:45.230Z"
"Nutrition","2026-09-03","Lunch","Lunch","","","","","","","500","30","60","10","","","1serving Meatzza","","2026-09-03T08:15:16.401Z"
"Nutrition","2026-09-03","Breakfast","Breakfast","","","","","","","310","7","20","11","","","1serving Caramel Frappe Latte","","2026-09-03T03:19:47.762Z"
"Nutrition","2026-09-03","Breakfast","Breakfast","","","","","","","420","8","78","10","13","","1serving Mango Smoothie Bowl","","2026-09-03T03:19:20.661Z"
"Nutrition","2026-09-03","Breakfast","Breakfast","","","","","","","560","22","34","38","","","1serving Brown Butter Scramble","","2026-09-03T03:18:58.137Z"
"Workout","2026-09-03","Sauna","recovery","1","","","","11","11","","","","","","","","","2026-09-03T06:56:47.847Z"
"Workout","2026-09-03","Push","chest","1","1","","1","23","83","923","","","","","133","","","2026-09-03T05:25:19.640Z"
"Workout","2026-09-03","Preacher Curls","biceps","3","8","30","","","","","","","","","","","",""
"Workout","2026-09-03","Preacher Curls","biceps","2","10","30","","","","","","","","","","","",""
"Workout","2026-09-03","Preacher Curls","biceps","1","10","30","","","","","","","","","","","","2026-09-03T05:24:06.428Z"
"Workout","2026-09-03","Tricep Dips","triceps","2","8","","","","","","","","","","","","",""
"Workout","2026-09-03","Tricep Dips","triceps","1","10","","","","","","","","","","","","","2026-09-03T05:19:57.881Z"
"Workout","2026-09-03","Abs","core","3","10","","","","","","","","","","","","",""
"Workout","2026-09-03","Abs","core","2","10","10","","","","","","","","","","","",""
"Workout","2026-09-03","Abs","core","1","10","10","","","","","","","","","","","","2026-09-03T05:19:39.472Z"
"Workout","2026-09-03","Abs","core","4","10","","","","","","","","","","","","",""
"Workout","2026-09-03","Abs","core","3","10","","","","","","","","","","","","",""
"Workout","2026-09-03","Abs","core","2","10","","","","","","","","","","","","",""
"Workout","2026-09-03","Abs","core","1","10","","","","","","","","","","","","","2026-09-03T05:05:01.739Z"
"Workout","2026-09-03","Shoulder Flies","shoulders","3","10","10","","","","","","","","","","","",""
"Workout","2026-09-03","Shoulder Flies","shoulders","2","10","10","","","","","","","","","","","",""
"Workout","2026-09-03","Shoulder Flies","shoulders","1","10","10","","","","","","","","","","","","2026-09-03T04:57:28.136Z"
"Workout","2026-09-03","Shoulder Press Machine","shoulders","2","3","60","","","","","","","","","","","",""
"Workout","2026-09-03","Shoulder Press Machine","shoulders","1","6","60","","","","","","","","","","","","2026-09-03T04:51:49.453Z"
"Workout","2026-09-03","Shoulder Press Machine","shoulders","3","5","60","","","","","","","","","","","",""
"Workout","2026-09-03","Shoulder Press Machine","shoulders","2","6","60","","","","","","","","","","","",""
"Workout","2026-09-03","Shoulder Press Machine","shoulders","1","12","40","","","","","","","","","","","","2026-09-03T04:47:40.329Z"
"Workout","2026-09-03","Fly Machine","chest","3","7","87.5","","","","","","","","","","","",""
"Workout","2026-09-03","Fly Machine","chest","2","9","87.5","","","","","","","","","","","",""
"Workout","2026-09-03","Fly Machine","chest","1","12","80","","","","","","","","","","","","2026-09-03T04:37:09.141Z"
"Workout","2026-09-03","Standing Chest Flies","chest","3","12","125","","","","","","","","","","","",""
"Workout","2026-09-03","Standing Chest Flies","chest","2","12","125","","","","","","","","","","","",""
